iter	Passed	Remaining
0	139	139100
1	142	71053
2	145	48331
3	148	37009
4	151	30138
5	154	25642
6	157	22392
7	161	19980
8	164	18071
9	166	16523
10	169	15283
11	173	14253
12	175	13358
13	179	12615
14	181	11934
15	184	11343
16	187	10840
17	189	10358
18	191	9908
19	194	9528
20	196	9178
21	198	8832
22	200	8532
23	202	8249
24	204	7993
25	206	7753
26	208	7518
27	209	7285
28	211	7076
29	213	6894
30	214	6714
31	215	6531
32	217	6370
33	218	6205
34	219	6052
35	220	5907
36	221	5762
37	222	5628
38	223	5504
39	224	5389
40	225	5281
41	226	5176
42	227	5071
43	228	4972
44	229	4875
45	230	4789
46	232	4709
47	233	4626
48	234	4545
49	235	4470
50	236	4397
51	237	4328
52	238	4265
53	239	4199
54	240	4133
55	241	4071
56	242	4010
57	243	3953
58	244	3899
59	245	3843
60	246	3788
61	246	3734
62	247	3685
63	248	3636
64	249	3589
65	250	3545
66	251	3500
67	252	3455
68	252	3412
69	253	3369
70	254	3328
71	255	3290
72	256	3257
73	257	3221
74	258	3184
75	258	3148
76	259	3112
77	260	3078
78	261	3048
79	262	3018
80	263	2987
81	264	2958
82	264	2925
83	265	2895
84	266	2867
85	267	2839
86	268	2815
87	269	2789
88	270	2765
89	271	2742
90	272	2718
91	272	2693
92	273	2669
93	274	2649
94	275	2626
95	276	2605
96	277	2583
97	278	2561
98	279	2543
99	280	2526
100	281	2508
101	282	2489
102	283	2471
103	284	2453
104	285	2433
105	286	2414
106	287	2399
107	288	2383
108	289	2365
109	290	2349
110	291	2333
111	292	2316
112	293	2301
113	294	2285
114	294	2268
115	295	2252
116	296	2235
117	296	2219
118	297	2204
119	298	2190
120	299	2176
121	300	2161
122	301	2146
123	301	2132
124	302	2117
125	303	2104
126	304	2089
127	304	2077
128	305	2065
129	306	2052
130	307	2039
131	308	2026
132	308	2014
133	309	2001
134	310	1989
135	311	1977
136	311	1965
137	312	1953
138	313	1941
139	314	1929
140	314	1918
141	315	1905
142	316	1894
143	317	1884
144	317	1874
145	318	1863
146	319	1854
147	320	1845
148	321	1836
149	322	1827
150	323	1818
151	324	1810
152	325	1800
153	326	1791
154	326	1781
155	327	1771
156	328	1762
157	329	1753
158	329	1744
159	330	1735
160	330	1724
161	331	1716
162	332	1707
163	333	1699
164	334	1690
165	334	1682
166	335	1674
167	336	1666
168	337	1658
169	337	1649
170	338	1641
171	339	1634
172	340	1626
173	340	1618
