iter	Passed	Remaining
0	135	135019
1	136	68013
2	138	46125
3	140	35030
4	141	28151
5	142	23628
6	143	20372
7	144	17936
8	145	16055
9	147	14555
10	147	13297
11	148	12238
12	149	11361
13	150	10612
14	152	10042
15	154	9494
16	155	8995
17	156	8563
18	157	8150
19	159	7797
20	160	7481
21	161	7188
22	162	6920
23	164	6677
24	165	6467
25	166	6252
26	168	6057
27	169	5880
28	170	5720
29	172	5564
30	172	5407
31	174	5268
32	175	5139
33	176	5018
34	177	4894
35	178	4777
36	179	4668
37	180	4569
38	181	4477
39	182	4387
40	183	4294
41	184	4212
42	185	4133
43	186	4055
44	187	3980
45	188	3909
46	189	3839
47	190	3775
48	191	3722
49	192	3660
50	193	3600
51	194	3541
52	194	3484
53	195	3429
54	196	3374
55	197	3322
56	197	3269
57	198	3220
58	198	3170
59	199	3124
60	200	3079
61	200	3035
62	201	2993
63	201	2953
64	202	2913
65	203	2875
66	203	2838
67	204	2801
68	204	2765
69	205	2730
70	206	2696
71	206	2663
72	207	2631
73	207	2602
74	208	2573
75	209	2543
76	209	2513
77	210	2483
78	210	2455
79	211	2428
80	211	2400
81	212	2374
82	212	2346
83	212	2320
84	213	2296
85	214	2274
86	214	2253
87	215	2231
88	215	2209
89	216	2187
90	216	2167
91	217	2146
92	218	2126
93	218	2107
94	219	2088
95	219	2070
96	220	2052
97	221	2036
98	221	2018
99	222	2000
100	222	1983
101	223	1966
102	224	1950
103	224	1934
104	225	1918
105	225	1903
106	226	1889
107	227	1875
108	227	1860
109	228	1846
110	228	1832
111	229	1818
112	229	1805
113	230	1792
114	231	1779
115	231	1766
116	232	1754
117	233	1742
118	233	1730
119	234	1717
120	234	1705
121	235	1692
122	235	1680
123	236	1668
124	236	1656
125	237	1645
126	237	1633
127	238	1622
128	238	1612
129	239	1602
130	240	1592
131	240	1581
132	241	1571
133	241	1561
134	242	1551
135	242	1540
136	243	1531
137	243	1521
138	244	1511
139	244	1502
140	245	1494
141	245	1484
142	246	1475
143	246	1466
144	247	1458
145	247	1449
146	248	1441
147	248	1433
148	249	1424
149	250	1416
150	250	1408
151	251	1400
152	251	1393
153	252	1386
154	252	1378
155	253	1370
156	253	1363
157	254	1355
158	254	1348
159	255	1340
160	255	1332
161	256	1325
162	256	1317
163	257	1310
164	257	1304
165	258	1298
166	258	1291
167	259	1284
168	260	1279
169	260	1273
170	261	1267
171	262	1261
172	262	1255
173	263	1249
174	263	1243
175	264	1238
176	265	1233
177	265	1228
178	266	1222
179	267	1217
180	267	1211
181	268	1206
182	269	1201
183	269	1195
184	270	1190
185	270	1185
186	271	1179
187	271	1174
188	272	1169
189	272	1163
190	273	1158
191	274	1153
192	274	1147
193	275	1142
194	275	1137
195	276	1133
196	276	1128
197	277	1123
198	277	1118
199	278	1113
200	279	1109
201	279	1105
202	280	1100
203	280	1095
204	281	1090
205	281	1085
206	282	1081
207	282	1077
208	283	1073
209	284	1068
210	284	1064
211	285	1060
212	285	1055
213	286	1051
214	286	1047
215	287	1042
216	287	1038
217	288	1034
218	288	1029
219	289	1026
220	290	1022
221	290	1018
222	291	1014
223	291	1010
224	292	1006
225	292	1002
226	293	998
227	293	994
228	294	990
229	294	986
230	295	982
231	295	979
232	296	975
233	297	972
234	297	968
235	298	964
236	298	961
237	299	957
238	299	953
239	300	950
240	300	946
241	301	943
242	301	939
243	302	936
244	302	933
245	303	930
246	304	926
247	304	923
248	305	920
249	305	917
250	306	914
251	306	910
252	307	907
253	307	904
254	308	901
255	309	898
256	309	895
257	310	892
258	310	889
259	311	886
260	312	883
261	312	880
262	313	877
263	313	874
264	314	871
265	314	868
266	315	865
267	315	862
268	316	860
269	317	857
270	317	854
271	318	851
272	318	849
273	319	846
274	319	843
275	320	841
276	321	838
277	321	835
278	322	833
279	323	831
280	323	828
281	324	826
282	324	823
283	325	820
284	325	817
285	326	815
286	327	813
287	327	810
288	328	807
289	328	805
290	329	802
291	329	799
292	330	797
293	331	794
294	331	792
295	331	789
296	332	787
297	333	785
298	333	782
299	334	780
300	334	777
301	335	775
302	336	773
303	336	770
304	337	768
305	337	766
306	338	763
307	338	761
308	339	759
309	340	757
310	340	754
311	341	752
312	341	750
313	342	748
314	343	745
315	343	743
316	344	741
317	344	739
318	345	737
319	346	735
320	346	733
321	347	731
322	348	729
323	348	727
324	349	725
325	349	723
326	350	721
327	350	719
328	351	717
329	352	715
330	352	713
331	353	711
332	354	709
333	354	707
334	355	705
335	356	703
336	356	701
337	357	699
338	357	697
339	358	696
340	359	694
341	359	692
342	360	690
343	361	688
344	361	686
345	362	684
346	362	682
347	363	680
348	363	678
349	364	676
350	365	675
351	365	673
352	366	671
353	367	669
354	367	667
355	368	665
356	368	663
357	369	661
358	369	659
359	370	657
360	370	656
361	371	654
362	371	652
363	372	651
364	373	649
365	373	647
366	374	645
367	374	643
368	375	641
369	375	639
370	376	638
371	377	636
372	377	634
373	378	633
374	379	631
375	379	629
376	380	628
377	380	626
378	381	624
379	381	623
380	382	621
381	383	619
382	383	618
383	384	616
384	385	615
385	385	613
386	386	611
387	386	609
388	387	607
389	387	606
390	388	604
391	388	602
392	389	601
393	390	600
394	390	598
395	391	596
396	391	595
397	392	593
398	392	591
399	393	590
400	393	588
401	394	586
402	394	584
403	395	583
404	396	582
405	396	580
406	397	578
407	397	577
408	398	575
409	398	573
410	399	572
411	399	570
412	400	568
413	400	567
414	401	565
415	401	564
416	402	562
417	403	561
418	403	559
419	404	558
420	404	556
421	405	555
422	406	553
423	406	552
424	407	550
425	407	549
426	408	548
427	408	546
428	409	545
429	410	543
430	410	542
431	411	540
432	411	539
433	412	537
434	413	536
435	413	535
436	414	533
437	415	532
438	415	531
439	416	529
440	416	528
441	417	526
442	417	525
443	418	523
444	418	522
445	419	520
446	419	519
447	420	518
448	421	516
449	421	515
450	422	514
451	422	512
452	423	511
453	423	509
454	424	508
455	424	506
456	425	505
457	425	503
458	426	502
459	427	501
460	427	500
461	428	498
462	428	497
463	429	496
464	430	494
465	430	493
466	431	492
467	431	490
468	432	489
469	433	488
470	433	487
471	434	485
472	434	484
473	435	483
474	435	481
475	436	480
476	436	478
477	437	477
478	437	476
479	438	474
480	438	473
481	439	472
482	440	471
483	440	469
484	441	468
485	441	467
486	442	465
487	442	464
488	443	463
489	443	461
490	444	460
491	444	459
492	445	457
493	445	456
494	446	455
495	447	454
496	447	453
497	448	451
498	448	450
499	449	449
500	449	448
501	450	446
502	450	445
503	451	444
504	452	443
505	452	442
506	453	440
507	454	439
508	454	438
509	455	437
510	455	436
511	456	434
512	456	433
513	457	432
514	457	431
515	458	429
516	459	428
517	459	427
518	460	426
519	460	425
520	461	424
521	462	423
522	462	422
523	463	420
524	463	419
525	464	418
526	465	417
527	465	416
528	466	415
529	466	414
530	467	412
531	468	411
532	468	410
533	469	409
534	470	408
535	470	407
536	471	406
537	472	405
538	472	404
539	473	403
540	473	401
541	474	400
542	474	399
543	475	398
544	476	397
545	476	396
546	477	395
547	477	394
548	478	393
549	479	392
550	479	390
